index	name	* Laz / status	* Laz / type	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
se54	MSMalthael's Sanctuary	paladin set	unholy melee	100	120	pr126	453	15	29					pr356	0	150	150					pr126	119	15	29													pr41	0	50	50	pr309	0	100	100	pr207	0	100	100	pr227	0	33	33	pr204	464	12	12	pr205	175	1	1	pr126	680	15	29					0
se55	MSImperius' Edict	paladin set	unholy caster	100	120	pr215	0	15	15	pr217	0	15	15	pr216	0	15	15	pr217	0	15	15	pr218	0	15	15	pr217	0	15	15									pr209	0	33	33	pr172	0	50	50	pr174	0	50	50	pr291	0	100	100	pr190	0	300	300	pr266	0	30	30	pr117	1251	1	1	pr205	175	1	1	0
se56	MSWarmage's Wrath	sorceress set	fire	100	200	pr84	0	20	20					pr126	600	5	7					pr171	0	50	50	pr204	564	20	20									pr356	0	250	250	pr204	335	7	7	pr222	0	100	100	pr231	0	100	100	pr183	0	150	150	pr126	973	5	23	pr223	0	400	400	pr205	175	1	1	0
se57	MSZann Esu's Secrets	sorceress set	cold	100	120	pr8	0	50	50					pr222	0	40	40					pr267	0	50	50	pr204	570	8	8									pr204	703	36	36	pr204	798	38	38	pr41	0	75	75	pr4	0	50	50	pr267	0	100	100	pr192	0	100	100	pr269	0	50	50	pr205	175	1	1	0
se58	MSEdyrem's Children	sorceress set	lightning	100	120	pr190	0	25	25					pr204	826	21	21					pr87	0	50	50	pr78	0	50	50									pr204	346	16	16	pr70	0	6	6	pr172	0	25	25	pr190	0	100	100	pr291	0	150	150	pr0	0	2500	2500	pr4	0	25	25	pr205	175	1	1	0
se59	MSAdria's Circle	sorceress set	poison	100	120	pr70	0	1	1					pr39	0	75	75									pr4	0	10	10									pr41	0	75	75	pr262	0	200	200	pr266	0	25	25	pr190	0	100	100	pr70	0	12	12	pr186	0	100	100	pr377	0	33	33	pr205	175	1	1	0
se60	MSRainbow Warrior2	NEW DRUID	melee knife	100	120	pr267	0	25	25					pr121	0	1	1					pr222	0	50	50													pr117	1647	50	50	pr190	0	100	100	pr108	0	25	25	pr221	0	50	50	pr41	0	50	50	pr136	0	1500	2000	pr205	175	1	1	pr326	0	1	1	0
se61	MSLastKing	NEW DRUID	melee axe	100	120	pr7	0	100	100					pr223	0	250	250					pr57	0	50	50													pr140	0	400	600	pr41	0	50	50	pr0	0	1000	1000	pr108	0	75	75	pr266	0	15	15	pr126	804	15	12	pr205	175	1	1	pr204	428	8	8	0
se62	MSTowerlord	NEW NECRO	totemic	100	120	pr7	0	50	50					pr8	0	50	50					pr207	0	100	100	pr204	83	37	37									pr471	0	2	2	pr204	967	33	33	pr204	1022	33	33	pr204	22	33	33	pr42	0	10	10	pr13	0	1000	1000	pr267	0	100	100	pr205	175	1	1	0
se63	MSWarmage2	sorceress set	fire	100	120	pr7	0	50	50					pr41	0	75	75					pr204	563	4	4	pr204	566	24	24									pr204	613	30	30	pr128	814	2	40	pr70	0	5	5	pr207	0	50	50	pr217	0	100	100	pr78	0	50	50	pr266	0	5	5	pr205	175	1	1	0
se64	MSThe Mysteries	sorceress set	melee	100	120	pr70	0	2	2					pr4	0	10	10					pr204	1011	21	21													pr140	0	500	500	pr108	0	25	25	pr0	0	4000	4000	pr204	307	17	17	pr266	0	5	5	pr204	449	4	4	pr205	175	1	1					0
se65	MSLazarus' Authority	secret set	jewelry	100	200																																																																	0
se66	MSTestament of the Apes	GUEST SET	ranged	100	120	pr96	0	150	150	pr7	0	50	50	pr108	0	15	15	pr7	0	75	75	pr223	0	200	200	pr204	331	14	14									pr197	780	5	3	pr204	636	10	10	pr108	0	35	35	pr204	17	18	18	pr4	0	20	20	pr219	0	25	25	pr371	441	10	9	pr205	175	1	1	0
se67	Set_PewPew			100		pr104	0	1	1					pr219	0	15	15					pr41	0	25	25													pr205	175	1	1	pr192	0	150	150	pr140	0	100	200	pr16	0	1	1	pr309	0	25	25	pr204	346	5	5	pr198	612	100	50	pr117	1963	1	1	0
se68	Set_Lazbro			100						pr292	0	25	25	pr269	0	50	50	pr267	0	100	100	pr302	0	500	500	pr69	0	1	1									pr204	1052	20	20	pr292	0	25	25	pr269	0	100	100	pr267	0	150	150	pr69	0	3	3	pr14	0	20	20	pr302	0	150	150	pr205	175	1	1	0
se69	Set_xaru			100		pr204	356	5	8					pr190	0	25	25	pr32	0	10	10	pr204	983	16	16	pr104	0	2	2									pr190	0	75	75	pr171	0	100	100	pr183	0	100	100	pr198	501	100	66	pr205	186	1	1	pr14	0	10	10	pr134	0	666	666	pr205	175	1	1	0
se70	Set_labrynth			100																																		pr204	1147	50	50	pr204	1148	50	50	pr204	1149	50	50	pr293	0	-100	-100	pr42	0	25	25	pr16	0	50	50	pr4	0	50	50	pr41	0	500	500	0
se71	Set_labrynth2			100																																		pr257	0	100	100	pr92	0	1	1	pr194	0	1	1	pr221	0	100	100	pr13	0	1000	1000	pr41	0	-200	-200	pr201	0	1	1	pr125	1151	1	1	0
se72	MREssence			100		pr215	0	40	40					pr4	0	20	20					pr121	0	3	3	pr14	0	20	20									pr204	1284	8	8	pr7	0	400	400	pr66	0	20	20	pr57	0	50	50	pr42	0	5	5	pr205	175	1	1	pr117	1761	30	30	pr28	0	500	500	0
se73	MSZeraesDivinity			100		pr67	0	2	2					pr172	0	15	15					pr222	0	50	50													pr204	355	9	9	pr205	175	1	1	pr127	489	20	53	pr172	0	15	15	pr184	0	50	50	pr222	0	200	200	pr28	0	500	500	pr326	0	2	2	0
se74	MSSelathielArchives			100		pr68	0	2	2					pr207	0	25	25	pr492	0	50	50	pr493	0	3	3	pr227	0	10	10									pr205	175	1	1	pr126	248	5	1	pr13	0	1000	1000	pr309	0	25	25	pr190	0	250	250	pr0	0	5000	5000	pr204	682	31	31	pr481	480	5	18	0
se75	MSTundraWalker			100		pr7	0	75	75					pr71	0	2	2	pr173	0	10	10	pr190	0	50	50	pr28	0	500	500									pr126	985	6	8	pr126	684	6	8	pr126	980	6	8	pr173	0	20	20	pr71	0	4	4	pr123	607	9	9	pr190	0	200	200	pr205	175	1	1	0
se76	MSOrchard			100		pr10	0	50	50	pr69	0	1	1	pr174	0	35	35					pr69	0	2	2	pr13	0	300	300									pr197	820	10	45	pr207	0	50	50	pr471	0	1	1	pr42	0	5	5	pr13	0	400	400	pr0	0	1500	1500	pr117	1926	10	10	pr205	175	1	1	0
se77	MSUniversal Law			100		pr206	0	20	20					pr122	0	2	2					pr13	0	500	500													pr206	0	30	30	pr122	0	4	4	pr266	0	5	5	pr11	0	3000	3000	pr205	175	1	1	pr41	0	25	25	pr204	976	60	60	pr192	0	100	100	0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
se78																																																																						0
